sigla_uf,valor_pago_nominal,n_emendas,pib_mil_reais,emendas_por_milhao_pib,zscore_robusto,flag_atipico
AC,15712295.26,48,173888089,90.35866315144794,12.390617424422356,True
AP,10890276.98,86,181580865,59.97480505448634,7.9135755231416205,True
RJ,327000657.25,448,8210517713,39.82704485641002,4.944816047768604,True
RN,16763794.07,101,720880583,23.25460619321467,2.502877895452456,False
PA,29886344.89,153,1858079922,16.084531422001987,1.4463720006581027,False
SE,7319717.73,34,457785307,15.989411669780832,1.4323561664946283,False
RR,2119341.2800000003,29,151214190,14.015492064600553,1.141500385311416,False
DF,37045838.47,67,2668987919,13.880107214528008,1.1215515149395523,False
TO,5703216.3100000005,41,413791747,13.782817930392413,1.107216001647242,False
MA,13453669.75,50,1046603274,12.854603156916935,0.9704441532211501,False
MS,14319366.440000001,33,1179874734,12.136344670636877,0.864609228348727,False
BA,32354997.35,146,3067489885,10.547711178516243,0.6305251075203303,False
MG,47642968.69,227,6842987265,6.962305619605738,0.10221791002415695,False
GO,14203362.24,88,2265796999,6.268594338446293,0.0,False
PB,4029622.8499999996,83,693759311,5.808387413484386,-0.06781119368511188,False
ES,6822561.9399999995,31,1463340520,4.662320113981399,-0.2366834713658595,False
RO,1851426.97,18,498596605,3.7132763268614717,-0.3765244615234247,False
CE,5989201.18,88,1670146797,3.5860327911044094,-0.39527371447983084,False
AM,3782610.7800000003,34,1118292745,3.382487096435558,-0.4252660413577947,False
AL,1586423.41,24,608261496,2.608127294646314,-0.5393674589004397,False
PR,12033356.92,155,4778199152,2.518387479718845,-0.5525905627722825,False
MT,4039466.87,16,1679519564,2.4051323703425465,-0.5692786301202053,False
SC,7178294.24,60,3404661847,2.1083721563494233,-0.6130060563226436,False
PE,3418066.14,115,1975689976,1.7300619943014786,-0.6687498147934721,False
SP,40904606.06,177,24189054375,1.6910378316514907,-0.6745,False
PI,819809.09,43,540985784,1.5153985820817797,-0.700380330184656,False
RS,6450366.25,118,4807592936,1.3417039120967709,-0.72597412782123,False
